date,stadium,latitude,longitude,temperature_2m_mean,precipitation_sum,windspeed_10m_max
2012-12-04,Stade de la Mosson,43.62,3.812,10.0,1.0,33.5
2012-12-04,Giuseppe Meazza,45.4781,9.124,3.0,0.2,10.2
2012-12-04,La Rosaleda,36.7175,-4.4369,11.4,0.0,23.6
2012-12-04,SIGNAL IDUNA PARK,51.4926,7.4519,3.5,2.7,32.4
2012-12-04,Santiago Bernabéu,40.4531,-3.6883,4.0,0.0,15.3
2012-12-05,Stamford Bridge,51.4816,-0.191,0.2,1.3,19.6
2012-12-05,Donbass Arena,48.0228,37.7697,0.5,0.0,12.3
2012-12-05,Decathlon Arena-Stade Pierre-Mauroy,50.6113,3.1303,1.8,1.5,18.5
2012-12-05,Allianz Arena,48.2188,11.6247,0.3,1.6,19.7
2012-12-05,Spotify Camp Nou,41.3809,2.1228,9.0,0.0,25.7
2012-12-05,Celtic Park,55.8497,-4.2054,-2.2,0.0,9.0
2012-12-05,Estádio Municipal de Braga,41.5666,-8.4034,8.4,0.0,7.6
2012-12-05,Old Trafford,53.4631,-2.2913,-0.3,0.2,16.3
2012-11-07,Mestalla,39.4747,-0.3583,13.2,2.9,14.3
2013-02-20,Ali Sami Yen Spor Kompleksi RAMS Park,41.0765,28.9834,5.3,4.6,21.9
2013-03-12,Veltins-Arena,51.5542,7.0678,-2.8,3.2,26.1
2013-02-12,Celtic Park,55.8497,-4.2054,1.6,0.0,16.2
2013-03-06,Allianz Stadium,45.1096,7.6412,3.2,30.9,7.9
2013-02-19,Emirates Stadium,51.5549,-0.1084,0.9,0.0,9.5
2013-03-13,Allianz Arena,48.2188,11.6247,1.6,0.6,12.6
2013-02-13,Donbass Arena,48.0228,37.7697,0.9,0.1,6.8
2013-03-05,SIGNAL IDUNA PARK,51.4926,7.4519,6.3,0.0,19.7
2013-02-20,Giuseppe Meazza,45.4781,9.124,2.8,0.4,11.2
2013-03-12,Spotify Camp Nou,41.3809,2.1228,11.3,0.8,16.3
2013-02-13,Santiago Bernabéu,40.4531,-3.6883,6.4,0.0,14.0
2013-03-05,Old Trafford,53.4631,-2.2913,3.7,0.0,13.7
2013-02-12,Mestalla,39.4747,-0.3583,11.4,0.0,26.3
2013-03-06,Parc des Princes,48.8414,2.253,10.3,0.0,12.3
2013-02-19,Estádio do Dragão,41.1614,-8.5835,9.7,0.2,6.5
2013-03-13,La Rosaleda,36.7175,-4.4369,11.7,0.0,27.4
2013-04-03,La Rosaleda,36.7175,-4.4369,13.7,4.7,15.9
2013-04-03,Santiago Bernabéu,40.4531,-3.6883,6.8,3.3,17.7
2013-04-02,Parc des Princes,48.8414,2.253,4.6,0.0,20.2
2013-04-02,Allianz Arena,48.2188,11.6247,1.8,0.0,14.2
2013-04-09,SIGNAL IDUNA PARK,51.4926,7.4519,5.8,3.1,14.7
2013-04-09,Ali Sami Yen Spor Kompleksi RAMS Park,41.0765,28.9834,8.2,0.0,18.9
2013-04-10,Spotify Camp Nou,41.3809,2.1228,12.9,0.0,14.8
2013-04-10,Allianz Stadium,45.1096,7.6412,9.1,0.0,6.9
2013-04-23,Allianz Arena,48.2188,11.6247,11.9,0.3,8.7
2013-04-24,SIGNAL IDUNA PARK,51.4926,7.4519,13.9,0.0,17.0
2013-04-30,Santiago Bernabéu,40.4531,-3.6883,7.3,3.0,12.9
2013-05-01,Spotify Camp Nou,41.3809,2.1228,13.1,0.0,14.8
2013-05-25,Wembley Stadium,51.556,-0.2796,9.4,0.0,19.4
2013-09-17,Old Trafford,53.4631,-2.2913,9.4,4.7,27.0
2013-09-17,Anoeta,43.3014,-1.9737,16.0,6.7,20.0
2013-09-17,Ali Sami Yen Spor Kompleksi RAMS Park,41.0765,28.9834,22.6,0.0,20.5
2013-09-17,Parken,55.7027,12.5783,11.4,0.3,26.2
2013-09-17,Estádio da Luz,38.7527,-9.1846,19.5,0.0,24.7
2013-09-17,Stadio Georgios Karaiskakis,37.9368,23.6689,23.3,0.0,15.0
2013-09-17,Allianz Arena,48.2188,11.6247,9.9,5.0,20.2
2013-09-17,Doosan Aréna,49.7472,13.3875,10.2,1.5,20.2
2013-09-18,Ernst-Happel-Stadion,48.2081,16.4177,11.6,4.6,16.6
2013-10-01,Petrovsky,59.956,30.249,4.6,1.5,18.4
2013-10-22,Ernst-Happel-Stadion,48.2081,16.4177,13.8,0.0,18.7
2013-11-06,Vicente Calderón,40.3992,-3.7185,14.7,0.0,9.2
2013-11-26,Estádio do Dragão,41.1614,-8.5835,8.9,0.0,23.9
2013-12-11,Ernst-Happel-Stadion,48.2081,16.4177,2.9,0.0,12.9
2013-09-18,Veltins-Arena,51.5542,7.0678,11.5,4.8,15.3
2013-09-18,Stamford Bridge,51.4816,-0.191,12.3,0.0,19.8
2013-09-18,Orange Vélodrome,43.2697,5.3955,19.8,0.0,36.4
2013-09-18,Stadio Diego Armando Maradona,40.8278,14.193,20.1,0.0,15.2
2013-09-18,Vicente Calderón,40.3992,-3.7185,22.9,0.0,11.2
2013-09-18,Giuseppe Meazza,45.4781,9.124,15.5,0.0,9.7
2013-09-18,Spotify Camp Nou,41.3809,2.1228,20.5,0.0,12.4
2013-10-01,Estádio do Dragão,41.1614,-8.5835,18.9,25.5,26.7
2013-10-01,Johan Cruijff ArenA,52.3143,4.9411,10.9,0.0,20.4
2013-10-01,Celtic Park,55.8497,-4.2054,12.0,0.0,20.4
2013-10-01,St. Jakob-Park,47.542,7.6208,13.5,0.0,7.2
2013-10-01,Arena Națională,44.4387,26.1224,8.4,42.9,39.2
2013-10-01,SIGNAL IDUNA PARK,51.4926,7.4519,10.4,0.0,16.6
2013-10-01,Emirates Stadium,51.5549,-0.1084,14.2,0.0,20.4
2013-10-02,Petrovsky,59.956,30.249,4.8,0.0,13.4
2013-10-02,Etihad Stadium,53.4831,-2.2004,13.9,6.7,23.4
2013-10-02,Donbass Arena,48.0228,37.7697,4.8,12.0,24.7
2013-10-02,BayArena,51.0383,7.0022,10.9,0.0,23.0
2013-10-02,Allianz Stadium,45.1096,7.6412,13.7,0.4,6.6
2013-10-02,Santiago Bernabéu,40.4531,-3.6883,19.2,0.0,11.4
2013-10-02,Parc des Princes,48.8414,2.253,17.8,0.3,13.4
2013-10-02,Constant Vanden Stock Stadion,50.8339,4.3014,13.3,0.0,17.1
2013-10-22,Veltins-Arena,51.5542,7.0678,17.6,0.9,23.5
